Category,Samples,Accuracy,F1
 সমকালীন উপন্যাস ,63977,0.9761789393063132,0.987927182850896
 অনুবাদ: আত্ম-উন্নয়ন ও মেডিটেশন ,63947,0.9756673495238244,0.9876631305202733
 ইসলামি আদর্শ  ও মতবাদ ,61115,0.9781232103411601,0.9889378883529285
 ইসলামি বই: আত্ম-উন্নয়ন ,38826,0.9781847215783238,0.9889669007021064
 গণিত ,34682,0.9757799434865349,0.9877307782192101
 সীরাতে রাসুল ﷺ ,32849,0.9763158695850711,0.9880115877712031
" রহস্য, গোয়েন্দা, ভৌতিক, মিথ, থ্রিলার, ও অ্যাডভেঞ্চার: অনুবাদ ",28338,0.9753687627920107,0.9875214530892449
 Spoken English ,27796,0.9756080011512448,0.9876336044942181
 ইসলামি গল্প ,26669,0.9766020473208594,0.9881611899521894
 English Grammar and Language Learning ,26273,0.9753358961671678,0.987511081987434
